{}type,description
author," Amy Sparkes writes books for children of all ages. She was born in Eastbourne, England, and enjoyed a wild imagination when she was a child (which included thirteen imaginary friends). Amy lives in Devon, England, with her husband and five young children. When she’s not off on an adventure with them, Amy enjoys drinking tea, climbing trees, and dancing. She is yet to master doing all three at the same time. Learn more at AmySparkes.co.uk."
book,"In the tradition of Nancy Drew, four kids and one grandfather in Miami tackle a decades-old mystery in this first book full of “atmosphere, history, and lively humor” (Publishers Weekly, starred review) in the Sherlock Society middle grade series from New York Times bestselling, Edgar Award–winning author James Ponti!Siblings Alex and Zoe Sherlock take their last name as inspiration when choosing a summer job. After all, starting a detective agency has to be better than babysitting (boring), lawn mowing (sweaty), or cleaning out the attic (boring and sweaty). Their friends Lina, an avid bookworm, and Yadi, an aspiring cinematographer, join the enterprise, and Alex and Zoe’s retired reporter grandfather offers up his sweet aquamarine Cadillac convertible and storage unit full of cold cases. The group’s first target is the long-lost treasure supposedly hidden near their hometown Miami. Their investigation into the local doings of famed gangster Al Capone leads them to a remote island in the middle of the Everglades where they find alarming evidence hinting at corporate corruption. Together with Grandpa’s know-how and the kids’ intelligence—plus some really slick gadgets—can the Sherlock Society root out the conspiracy?"
author," James Ponti is the New York Times bestselling author of four middle grade book series: The Sherlock Society following a group of young detectives; City Spies, about an unlikely squad of five kids from around the world who form an elite MI6 Spy Team; the Edgar Award–winning Framed! series, about a pair of tweens who solve mysteries in Washington, DC; and the Dead City trilogy, about a secret society that polices the undead living beneath Manhattan. His books have appeared on more than fifteen different state award lists, and he is the founder of a writers group known as the Renegades of Middle Grade. James is also an Emmy–nominated television writer and producer who has worked for many networks including Nickelodeon, Disney Channel, PBS, History, and Spike TV, as well as NBC Sports. He lives with his family in Orlando, Florida. Find out more at JamesPonti.com."
book,"This Signed Barnes & Noble Exclusive Edition includes stenciled and stained edges, special endpapers, and an exclusive epilogue.New York Times #1 best-selling authors Rick Riordan and Mark Oshiro collaborate again on a new adventure in which Nico di Angelo teams up with his half-sister Hazel Levesque to protect . . . monsters?A few months after returning from the depths of Tartarus, Nico and Will agree to join Nico's half-sister Hazel Levesque at Camp Jupiter on the West Coast. She needs their help in managing a situation that the boys inadvertently brought about: the demigods showed the monsters of the Underworld that they have options; they don't have to be evil. Now some of those monsters have taken up residence at Camp Jupiter. Nico and Will are on site, assisting Hazel with a group of ""refugees,"" when one by one, monsters start disappearing from camp. A mysterious dark force is at work, and its plan is to punish all monsters for their past crimes. Things only get worse when Nico, Will, and Hazel learn that they're all connected to it . . ."
author," Rick Riordan is best known for his bestselling young reader book series Percy Jackson and the Olympians and award-winning adult mysteries featuring San Antonio P.I. Tres Navarre. Children across the globe have followed Percy and friends on their adventures through the popular follow up series, Heroes of Olympus, and enjoyed the movies adapted from the first two Percy Jackson and the Olympian books, The Lightning Thief and Sea of Monsters. Riordan intertwines humor and masterful storytelling set against Greek, Roman, or as in The Kane Chronicles, Egyptian mythology."
book,"Return to the magic of the Archipelago in the dazzling sequel to the runaway, #1 New York Times bestseller Impossible Creatures, hailed as ""an instant classic"" (Katherine Applegate, Newbery Medal Winner for The One and Only Ivan)!This Barnes & Noble Exclusive Edition features foil and embossing on the jacket, full-color designed endpapers, an exclusive printed edge design and unique case!Christopher Forrester woke to find a dragon chewing on his face—and his heart leapt for joy! He'd been dreaming of going back to the Archipelago, the secret cluster of islands where all the creatures of myth still live, and here was his summons.But there is a poison spreading in the Archipelago. Rooting it out will involve a daring rescue mission on the back of a sphinx, a stealthy entrance to a dragon’s lair, and a death-defying plan to save a prisoner held in the heart of a castle. At the center of this storm is Anneth: a small girl with a flock of birds at her side, a new-hatched chick in her pocket, and a ravenous hunger for justice.Katherine Rundell's second thrilling installment in the Impossible Creatures series involves castles, dragons, and revenge—the things of which great stories are made. The splendors within are brought to life with more than 50 illustrations, including a map and a bestiary of magical creatures."
author," KATHERINE RUNDELL is the internationally bestselling author of Impossible Creatures. Her other books for children include Rooftoppers, Cartwheeling in Thunderstorms, The Wolf Wilder, The Explorer, and The Good Thieves. She grew up in Zimbabwe, Brussels, and London, and is currently a Fellow of St. Catherine's College, Oxford. For adult readers, Rundell has written Vanishing Treasures: A Bestiary of Extraordinary Endangered Creatures and Super-Infinite: The Transformations of John Donne, which won the Baillie Gifford Prize for Non-Fiction. She was the recipient of the British Book Award for Book of the Year and Author of the Year."
book,"From the powerhouse creator of Nimona comes a breathtaking illustrated novel, the start of a duology, following two orphans who leave the only home they’ve ever known to sail with an eccentric crew of pirates.Viola and Wilmur have been waiting for their parents for fifteen boring years in the colorless town of Caveat. Their lives are a drudge of salt, trash, pirate stories, and what-ifs . . . until one very stormy night, when Captain Cadence Chase breaks down their door. They cut a deal with the captain: Chase can take their most prized possession, a mysterious book, but only if she takes them, too. After all, if their parents aren’t coming, Viola and Wilmur might as well have a grand adventure to find them.Setting sail into the treacherous and beautiful world beyond Caveat, the two inseparable friends must uncover the facts behind legend—and the key to saving all of Dickerson’s Sea from obliteration—before the truth tears them apart.Wickedly funny, deeply emotional, and sharply incisive, Scarlet Morning is a tale of love, betrayal, and the extraordinary lengths we’d go to save a world broken beyond repair."
author," ND Stevenson is the award-winning, bestselling author and illustrator of Nimona and The Fire Never Goes Out and the cocreator of Lumberjanes and was the showrunner for the award-winning Netflix series She-Ra and the Princesses of Power. He currently lives in Los Angeles.ND Stevenson is the award-winning, bestselling author and illustrator of Nimona and The Fire Never Goes Out and the cocreator of Lumberjanes and was the showrunner for the award-winning Netflix series She-Ra and the Princesses of Power. He currently lives in Los Angeles."
book,"“A true original.” —Katherine Rundell, bestselling author of Impossible CreaturesA deluxe limited hardcover edition of the beloved international bestseller, Howl’s Moving Castle. The stunning package is perfect for gift-giving and collecting for every reader who has fallen in love with the iconic Wizard Howl. Diana Wynne Jones’s unique combination of magic, humor, and imagination dazzles in this modern classic—beloved by readers of all ages.When Sophie Hatter unwittingly attracts the attention of the Witch of the Waste, she finds herself transformed into an old woman. To untangle the enchantment, Sophie must infiltrate the ever-moving castle in the hills, handle the heartless Wizard Howl, strike a bargain with a fire demon, and meet the Witch head-on. Along the way, she discovers that there’s far more to the irresistibly charming Howl—and herself—than first meets the eye. This deluxe limited edition features:Luminous new jacket artwork and full-color endpapers by artist Devin Elle Kurtz.Digitally printed edges.Shimmering foil stamping on the case.Striking black-and-white interior artwork by internationally bestselling author Stefan Bachmann.Howl’s Moving Castle is beloved by generations of fantasy readers and the source for Hayao Miyazaki’s film, which was nominated for an Academy Award for Best Animated Feature and was recently rereleased in celebration of its twentieth anniversary."
author," In a career spanning four decades, award-winning author Diana Wynne Jones (1934–2011) wrote more than forty books of fantasy for young readers. Characterized by magic, multiple universes, witches, and wizards—and a charismatic nine-lived enchanter—her books are filled with unlimited imagination, dazzling plots, and an effervescent sense of humor that earned her legendary status in the world of fantasy. Her books, published to international acclaim, have earned a wide array of honors, including two Boston Globe–Horn Book Award Honors and the British Fantasy Society’s Karl Edward Wagner Award for having made a significant impact on fantasy. Acclaimed director and animator Hayao Miyazaki adapted Howl’s Moving Castle into a major motion picture, which was nominated for an Academy Award."
book,"The third full-color graphic novel adaptation of the blockbuster Warriors series covers the fifth and sixth novels of The Prophecies Begin (A Dangerous Path and The Darkest Hour). In the heart of the forest, the uneasy harmony between the four warrior cat Clans is in graver peril than ever before. ShadowClan has chosen Tigerclaw—now Tigerstar—as their new leader, and Fireheart fears that he still harbors dark plans for vengeance on his old clan.With the forest on the brink of battle, in which all the warriors must fight for their home and clan, the time has come for Fireheart to face his destiny.Ever since the first Warriors book hit shelves, readers have devoured these epic adventures. These stunning new adaptations retell the original Warriors story arc as full-color graphic novels."
author," Erin Hunter is inspired by a love of cats and a fascination with the ferocity of the natural world. In addition to having great respect for nature in all its forms, Erin enjoys creating rich mythical explanations for animal behavior. She is the author of the Warriors, Seekers, Survivors, Bravelands, Bamboo Kingdom, and Renegades series. Erin lives in the UK.Sara Goetter and Natalie Riess are a comic-making duo from Pennsylvania. They currently live in Texas with their cat, Tilly. Their other titles include Dungeon Critters and The Bawk-ness Monster.Sara Goetter and Natalie Riess are a comic-making duo from Pennsylvania. They currently live in Texas with their cat, Tilly. Their other titles include Dungeon Critters and The Bawk-ness Monster."
book,"The book that inspired the global film phenomenon, starring Kristin Stewart and Robert Pattinson. Fall in love with the addictive, suspenseful love story between and teenage girl and a vampire that redefined romance for a generation, from #1 New York Times bestselling author Stephenie Meyer. In honor of the 20th anniversary of the genre-defining tale, this vintage-inspired collector's edition features: Foil-stamped slipcase Stunning new cover with lush, romantic artwork New interior art and beautifully illustrated endpapers Elegant ribbon marker One-of-a-kind, interactive, gilded-edge design Isabella Swan's move to Forks—a small, perpetually rainy town in Washington—could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Bella's life takes a thrilling and terrifying turn. So far, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Bella—the person Edward now holds most dear. Deeply romantic and extraordinarily suspenseful, Twilight captures the struggle between defying our instincts and satisfying our desires. This is a love story with bite. A must-have collector’s edition for any die-hard or newly minted Twilight fan.Coming Fall 2026: New Moon: Deluxe Collector’s EditionAlso Available to Celebrate 20 Years of TwilightThe Twilight Saga Deluxe Hardcover Collection: A stunning 5-book hardcover boxed set featuring exclusive wraparound box art, new jacket designs, and starry night stenciled edgesTwilight (20th Anniversary Edition): A special paperback edition with deluxe cover, original art on the inside covers, and stenciled edges of a fan-favorite quotePraise for The Twilight Saga “This tale of tortured demon lovers entices” —Kirkus Reviews “Piles on the suspense and romance.” —USA Today “A literary phenomenon.” —New York Times “In the tradition of Anne Rice ... this dark romance is gripping.” —Booklist (starred review)A New York Times bestseller A New York Times “Editor's Choice” An Amazon best of #Booktok Book"
author," Stephenie Meyer is the author of the #1 bestselling Twilight Saga, The Host, and The Chemist. Twilight has enraptured millions of readers since its publication in 2005 and has become a modern classic, redefining genres within young adult literature and inspiring a phenomenon that has had readers yearning for more. The series has sold more than 160 million copies worldwide and was made into five blockbuster feature films. Stephenie lives in Arizona with her husband. Her website is stepheniemeyer.com. "
book,"This Barnes & Noble Exclusive Edition has an alternate cover, unique case stamp, and designed endpapers.After the jaw-dropping ending of #1 New York Times-bestseller A Tempest of Tea, Arthie and her crew still have plenty of hearts to break and crimson-red secrets to uncover. Hafsah Faizal crafts a deliciously twisty and seductive sequel that will leave readers breathless until the very last page.White Roaring is sharpening its fangs after the deadly night that left the city in shambles. The press are dead, the public calls for justice, vampires are in danger, and amid the turmoil, the Ram announces a celebration.Still reeling from the bloodshed, Arthie Casimir has no time to mourn the death of anyone, let alone her own. She has no time for love, either, but it had saved her life. As Arthie navigates new emotions and new allies, she must reassemble her scrambled crew and scrape what little they have left to fight one last time—and she will need to face the ghosts of her past to do it.In Ceylan."
author," Hafsah Faizal is the #1 New York Times–bestselling author of A Tempest of Tea, The Wishless Ones, and the Sands of Arawiya duology and the founder of IceyDesigns, where she creates websites for authors and beauteous goodies for everyone else. A Forbes 30 Under 30 honoree, she was born in Florida and raised in California. She now resides in North Carolina with her husband and a library of books waiting to be devoured."
book,"An Instant New York Times bestseller! An Instant Indie bestseller! An Instant USA Today bestseller!This gorgeous DELUXE LIMITED EDITIONis available while supplies last―featuring stenciled sprayed edges, as well as exclusive special design features. This must-have special edition is only available on a limited first print run while supplies last in the US and Canada only. ​""A deliciously dark and viciously sexy romance. You will want to devour Jordan Gray's stunning paranormal debut. But beware, this book bites back."" –Stephanie Garber, #1 New York Times bestselling author of Once Upon a Broken HeartCrescent City meets Fourth Wing in this fast-paced and romantic debut, in which a teenage girl must survive ruthless werewolves, a glittering court, and deadly politics to exact revenge on the monsters who destroyed her. After a vicious werewolf attack on the night of her seventeenth birthday party, Vanessa Hart loses everything she loves in a split second. Her best friend, her father, and even her home. Bitten and imprisoned without explanation, Vanessa endures an agonizing transformation into the very beast that maimed her, and her captors make it clear she cannot escape: she will either swear her life to the Wolf Queen’s Court, or she will die. With no other choice, Vanessa joins their enchanted Castle Severi—where flowering vines grow through the walls, gifts are bestowed by the stars, and a claw can break through skin as easily as silk—but she hasn’t forgotten what they stole from her. Vanessa still seeks vengeance, scheming in the shadows even as she finds herself mesmerized by the golden prince Sinclair Severi, who threatens to steal her heart though he is promised to her nemesis. And by his brooding, disgraced cousin, Calix, whose smoldering gaze hides even darker secrets. Immersed in the magic of their whimsical yet cruel society, Vanessa soon learns not all is as it seems. The Court is at war, and she may simply be a pawn in its lethal game.For Fans of: Forbidden Romance Enemies to Lovers Werewolves Paranormal Romance"
author," Jordan Stephanie Gray is New York Times bestselling author of Bitten and The Wicked Sea.  In her free time, she can be found curled up with her pugs in her lap, rereading her favorite novels while teasing her middle schooler about how much kissing is in her own books (a lot). She invites you to visit her at authorjordangray.com and to follow her on instagram @authorjordangray.  "
book,"A New York Times bestselling series!The highly anticipated fourth novel in the Woven Kingdom romantasy series, brimming with fiery romance, spectacular magic, and breathtaking secrets, from Tahereh Mafi, the award-winning and bestselling author of the Shatter Me series. Perfect for fans of Sarah J. Maas, Leigh Bardugo, and Sabaa Tahir.At long last, the wedding day has arrived.The Jinn queen and the enigmatic ruler of Tulan are to be married in a magical, enchanted ceremony—but Cyrus, tethered by a blood oath to his bride-to-be, can find nothing to celebrate in this union. He’s falling ever more deeply in love with the one person oathbound to kill him.Sworn to an ancient, unbreakable magic, Alizeh can only fulfill the prophecy to free her people by ensuring Cyrus dies by her own hand. And Cyrus is forced to await his end all while Prince Kamran inches closer, ready to take his place by Alizeh’s side. The countdown to murder coils tensions ever tighter, but the historic wedding has already drawn deadly attention. To prepare for war and protect her people, Alizeh must finally discover her magic—and outrun the enemies trying to stop her.Alizeh and Cyrus, along with Kamran and their friends from Ardunia, must flee on dragon-back to begin the perilous journey into the legendary mountains of Arya, where a firestorm of revelations, magical discoveries, and fresh allies awaits them. Every allegiance will be tested, every darkness uncovered, and when the shattering secrets of the Tulanian king are finally revealed . . .Nothing, and no one, will be the same.Desperate confessions, impossible decisions, unfathomable magical power—and a love so devastating it rewrites destinies—Every Spiral of Fate is the shimmering, breathtaking fourth volume in a saga that continues to transcend expectations."
author," Tahereh Mafi is the #1 New York Times bestselling, #1 international bestselling, and National Book Award–nominated author of over a dozen books, including Shatter Me: Series One and Shatter Me: Series Two, the Woven Kingdom series, A Very Large Expanse of Sea, and An Emotion of Great Delight. Her books have been translated into more than thirty languages. She lives in Southern California with her husband, fellow author Ransom Riggs, and their family. Visit her online at taherehmafi.com."
book,"Instant #1 New York Times and #1 National Indie bestseller!In a stunning reimagining of Greek myth for fans of Circe and Lore, Nikita Gill showcases the underworld and its chthonic deities in all their glory in this first book in an exciting trilogy, weaving a gripping story about the young goddess coming of age within their midst. This gorgeous DELUXE LIMITED EDITION is available while supplies last—featuring gold foil, sprayed edges, printed endpapers and foil stamped case. This must-have special edition is only available on a limited first print run in the US and Canada.Hekate sings the story of its eponymous heroine. Born into a world on fire and at war, she and her mother are left behind by the menfolk of their Titan family as the battle against the new Gods–the Olympians–begins. Soon, Hekate and her mother are forced to flee their home as the Olympians overpower and enslave the Titans, including Hekate’s father, Perses, and gain dominion over the universe. In a bid to protect Hekate from the clutches of Zeus and Poseidon, her mother leaves her in the underworld with the goddess Styx and king of the underworld, Hades, where she must make a life for herself and discover her divine purpose. Here begins Nikita Gill’s beautiful and propulsive reimagining of Hekate’s myth which unfolds into a coming-of-age adventure story and quest in which our young protagonist – not yet a goddess – sets out to discover what has happened to her parents, heal from the trauma of her separation from them, make a new home for herself in the underworld, and, eventually, step into her true power as a woman and goddess, before it’s too late. Deluxe Limited Edition includes: ★ Foil and embossing ★ Designed edges ★ Special endpapers ★ Printed case"
author," Nikita Gill is an Irish Indian poet who has the attention of over 800,000 Instagram followers worldwide for her work. Her work offers a shift of perspective which centers women in both Greek and Hindu myth as well as folklore. Gill has written two verse novels and seven poetry collections, including Fierce Fairytales, Wild Embers, and Where Hope Comes From which she published with Hachette Books."
book,"The Instant #1 New York Times BestsellerMirabella Owens grew up with legends of wolves that traveled to her midwestern town to protect humans from vampires. Of a werewolf that fell in love with one of the undead, unraveling a blood-soaked history. But Mira stopped believing in those fairy tales years ago. She stopped believing in a lot of things after her mom left without a trace when she was only thirteen.As Mira begins her freshman year at Lakeland University, she’s ready to leave the past behind her. Only the past isn’t finished with her yet. Strange animal attacks are occurring around campus, reopening cold cases tied to her mother’s disappearance. And the only person who seems to know anything is Julian Santos, the boy who is hell-bent on getting Mira to leave campus for reasons she can’t begin to understand. But Mira refuses to let him keep his secrets, not when the truth is the difference between life and death.Mira will have to accept that there is much more to the old town myths, and her growing feelings for Julian, than she ever could have anticipated. And as the Blood Moon rises, she will come to know a world that will shatter her past and change her future."
author," Britney S. Lewis is the award-winning and acclaimed author of The Undead Truth of Us and The Dark Place. She was born and raised in Kansas, and when she’s not writing, you can find her searching for iced coffee, walking her dog, or competing in West Coast Swing. For more information, visit her website at: www.britneyslewis.com"
book,"A traditional American woman, a beautiful wife and mother who sells her pioneer lifestyle of raw milk and farm-fresh eggs to her millions of social media followers, suddenly awakens cold, filthy, and terrified in the brutal reality of 1805—where she must unravel whether this living nightmare is an elaborate hoax, a twisted reality show, or something far more sinister in this sensational debut novel.My name was Natalie Heller Mills, and I was perfect at being alive. Natalie lives a traditional lifestyle. Her charming farmhouse is rustic, her husband a handsome cowboy, her six children each more delightful than the last. So what if there are nannies and producers behind the scenes, her kitchen hiding industrial-grade fridges and ovens, her husband the Republican equivalent of a Kennedy? What Natalie’s followers—all 8 million of them—don’t know won’t hurt them. And The Angry Women? The privileged, Ivy League, coastal elite haters who call her an antifeminist iconoclast? They’re sick with jealousy. Because Natalie isn’t simply living the good life, she’s living the ideal—and just so happens to be building an empire from it.Until one morning she wakes up in a life that isn’t hers. Her home, her husband, her children—they’re all familiar, but something’s off. Her kitchen is warmed by a sputtering fire rather than electricity, her children are dirty and strange, and her soft-handed husband is suddenly a competent farmer. Just yesterday Natalie was curating photos of homemade jam for her Instagram, and now she’s expected to haul firewood and handwash clothes until her fingers bleed. Has she become the unwitting star of a brutal reality show? Could it really be time travel? Is she being tested by God? By Satan? When Natalie suffers a brutal injury in the woods, she realizes two things: This is not her beautiful life, and she must escape by any means possible.A gripping, electrifying novel that is as darkly funny as it is frightening, Yesteryear is a gimlet-eyed look at tradition, fame, faith, and the grand performance of womanhood."
author," Caro Claire Burke received her Master’s in Fine Arts from the Bennington Writing Seminars. She is the co-host of Diabolical Lies, a politics and culture podcast. Yesteryear is her first novel."
book,"One deluxe volume containing two brand-new, novel-length stories in the Lightlark universe, written from the perspectives of Grim and Oro, from #1 New York Times bestselling author and #BookTok sensation Alex AsterTrue love knows no bounds. This premium, dual-sided book includes two novel-length romantasy stories bound together to create one can’t-miss collector’s item. One half of the book—told from Oro’s perspective—offers a window into his complex identity: that of a king torn between a desire for justice and passion for the woman he loves more than anything. The other half is narrated by Grim and gives readers insight into his past: the motivations and events that cemented his fate as Isla’s eventual love interest.Grim and Oro: Dueling Crowns Edition includes key moments from the rulers’ love stories with Isla, expanded upon in their own voices. This gorgeous dual-sided Lightlark companion book from #1 New York Times bestselling author Alex Aster contains two full manuscripts bound together in one breathtaking package that boasts a suite of premium features:Dual-sided slipcase with two unique cover designsDie cuts and foil stamping in two colors on both sides of slipcaseFull-color case with illustrations on both sidesFull-color, stenciled edgesFull-color endpapers with never-before-seen illustrations Grim and Oro is certain to thrill readers and test allegiances, leaving new and longtime fans second-guessing who they’re rooting for in the breathtaking battle for Isla’s heart."
author," Alex Aster is a #1 New York Times, Wall Street Journal, and Publishers Weekly bestselling author, as well as an internationally bestselling author and one of the most followed novelists on social media. She graduated summa cum laude from the University of Pennsylvania, where she studied creative writing, and is also the author of the critically acclaimed Emblem Island series. Explore the world of Lightlark at asterverse.com."
book,"An astonishing debut about a teenage girl in 1970s Brazil who is torn away from her twin sister—and who must learn what it means to fight for those she loves when all the odds are stacked against her.Dolores and Mita grow up in rural Brazil, identical and inseparable. But Mita develops a mysterious illness that challenges the family. One day, Dolores wakes up to find her sister gone—sent to a hospital in their father’s native London. There is no Dolores without Mita. And now Mita is gone.When the family move to Rio, Dolores’ parents act as if Mita never existed. Lonely and grief-stricken, Dolores struggles to learn to read and write at the stodgy British School—until she meets Andrea, a headstrong, streetwise girl from the dangerous part of town. Andrea shows Dolores a new side of Rio—and how to survive it. As the dictatorship cracks down on dissenters, and people disappear, Dolores begins to wonder if her sister is dead, and her parents are lying Determined to uncover the truth, Dolores is willing to do whatever it takes—lie, gamble and steal—to get her sister back.Liar’s Dice captures the precarious intensity of coming of age in a volatile time—when repression and silence are the fabric of everyday life—and the cost of family secrets. Heartrending and tender, Juliet Faithfull’s debut novel is a testament to the unbreakable bonds of sisterhood."
author," JULIET FAITHFULL is a Spanish-British-American writer who grew up in Brazil. Liar’s Dice, her first novel, was a winner of the 2024 Irish Writers Centre’s Novel Fair and a semifinalist for the James Jones First Novel Fellowship. She was awarded a Pauline Scheer Fellowship by GrubStreet’s Novel Incubator program, in Boston, and her short stories have been published in the Bellevue Literary Review and Urbanus Magazine. A graduate of Harvard University and Smith College School for Social Work, Juliet works as a trilingual psychotherapist and currently lives in Cambridge, Massachusetts, with her two sons."
book,"This Barnes & Noble Exclusive Edition will have exclusive design treatments and content.Rachel Gillig, the queen of gothic romantasy, returns with higher stakes, darker mysteries, and deeper longings in this gorgeous sequel to the #1 New York Times bestselling sensation The Knight and the Moth.Aisling Cathedral is in ruins. Rodrick Myndacious, Bartholomew, and Maude Bauer are rumored to be dead—and the king has taken Sybil Delling as his bride. To show off their union and solidify his power over Traum, Benji proposes a series of tournaments throughout the hamlets. Captive and drugged, Sybil remains determined to vanquished him as she once did the Omens, even if she destroys the kingdom’s faith—and herself—in the process.But then a mysterious knave rises to the top of the lists, a man with no name and no memory who may just be Sybil’s ticket to undoing Benji’s power. For in a land where stories repeat themselves, where a king can prove as cruel as a god, the only way to truly destroy the Stonewater Kingdom’s faith is to save it."
author," Rachel Gillig was born and raised on the California coast. She is a writer and a teacher, with a B.A. in Literary Theory and Criticism from UC Davis. If she is not ensconced in blankets dreaming up her next novel, Rachel is in her garden or walking with her husband, son, and their poodle, Wally."
book,"This Barnes & Noble Exclusive Edition features an exclusive essay by Polly Barton, translator of HOOKED and BUTTER.From the author of the international bestseller Butter comes a chilling and perceptive novel about obsession, female friendship, and the slow unraveling of two livesEriko’s life looks perfect—from her prestigious job at a Japanese trading firm to her spotless apartment and devoted parents. Her newest project, to reintroduce the controversial Nile Perch into the Japanese market, is as ambitious as she is. But beneath her flawless surface lies a consuming loneliness. Eriko has never been able to hold on to a real friend.Enter Shoko: a popular lifestyle blogger whose work Eriko follows obsessively. Shoko lives a life of controlled chaos—messy apartment, take-out dinners, a kind, easy-going husband. She writes about daily contentment, though her fractured relationship with her father gnaws at the edges of her happiness.When Eriko orchestrates a “chance” meeting with Shoko, the two women strike up an unlikely connection. For a fleeting moment, Eriko believes she’s finally found what she’s always longed for. But as her fascination turns to fixation and Shoko’s carefully balanced life begins to dissolve, both women are pushed to breaking points neither of them saw coming.Deftly translated by Polly Barton, Hooked is a taut, provocative novel about modern womanhood, the hunger for connection, and the quiet, ordinary ways our lives can spiral out of control. With razor-sharp insight and disarming empathy, Asako Yuzuki explores how far we’ll go to be seen and what happens when the ones who see us don’t like what they find."
author," Asako Yuzuki was born in Tokyo in 1981. Her English-language debut, Butter, a major critical and commercial success, was named Waterstones Book of the Year 2024 and took home the British Book Awards 2025 Debut Fiction Award. For Nile Perch Girls’ Club, she received the Yamamoto Shūgorō Award."
book,"Amir Levine, MD, coauthor of the groundbreaking, multimillion-copy international bestseller Attached, presents a bold new promise—that anyone can learn to create a secure life—and offers practical cutting-edge tools to achieve it.Years after revolutionizing our understanding of attachment styles, psychiatrist and neuroscientist Dr. Amir Levine returns with a brilliant, paradigm-shifting work on the science of secure human connection. As Dr. Levine explains in Secure, people with a secure attachment style are the most comfortable not just in their relationships, but also in their own skins. And remarkably, the latest research shows that anyone, regardless of how insecure they may feel, can learn to create a secure life.The benefits of living in “secure mode” are extraordinary: people tend to be healthier and have a better relationship with their health care providers. When they do have a difficult illness, they have fewer symptoms and handle it better emotionally. If they’re looking for a job, they’re more effective in their search and their self-esteem doesn’t suffer as much. They are less susceptible to consumerism. They even navigate social media better and experience fewer negative impacts.In Secure, Dr. Levine presents his pioneering approach, Secure Therapy and Coaching, offering practical, neuroscience-backed tools to help readers cultivate security so that they can thrive. Secure is the definitive guide for anyone looking to improve their emotional health, deepen their connections, and build more fulfilling lives."
author," Amir Levine, M.D. is an Associate Professor of Clinical Psychiatry at Columbia University Medical Center. After completing his residency in adult and child psychiatry at Columbia University, Dr. Levine specialized in molecular neuroscience under the mentorship of Nobel Laureate Eric Kandel. His patented findings hold potential for innovative treatments for psychiatric disorders in adolescents and adults. Dr. Levine is the coauthor of the international bestseller Attached, which has sold more than two million copies and has been translated into more than 30 languages."
book,"""I can hardly remember the last time I read anything that brought me such pure joy.”— Ann Patchett“American Fantasy is such a fun, delicious, big-hearted book.” –Taylor Jenkins Reid“You will feel so understood by this novel.” –Rainbow RowellFrom New York Times bestselling author of This Time Tomorrow, an irresistible story about what happens when your teenage fantasy comes true after you’re already an adult.When the American Fantasy cruise ship sets sail for a four-day themed voyage, aboard are all five members of a famous, nineties-era boy band and three thousand screaming women who have worshipped them since childhood.Feeling slightly out of place amid this crowd is Annie, newly divorced, turning fifty with an empty nest, and here on a lark to appease her sister. Yet when the lights come up and the idols of her youth begin to sing, something is unlocked. Call it memory. Call it nostalgia. Call it the chemical reaction of hormones, hope, and sexual reawakening. Between the slushy alcoholic drinks, the familiar music, and the throngs of middle-aged women acting like lovesick teenagers, Annie finally reconnects to a long-submerged part of herself. By the time she meets one of the band members—not just a celebrity but someone in need of a friend—she has accessed a new sense of possibility.In a smart and incisive book packed with laugh-out-loud reflections on fame, aging, marriage, and middle age, Emma Straub delivers a richly textured story that shows us real passion is never truly lost, that what we love makes us who we are, and that deep meaning can sometimes be found in a sea of screaming fans."
author," Emma Straub is the New York Times bestselling author of six books for adults: the novels This Time Tomorrow, All Adults Here, The Vacationers, Modern Lovers, Laura Lamont's Life in Pictures, and the short story collection Other People We Married. She is a Guggenheim Foundation Fellow and her work has been published in more than 20 languages. Emma and her husband own Books Are Magic, an independent bookstore in Brooklyn, New York."
book,"The iconic, multiplatinum, Grammy Award®–winning performer Brandy brings us a raw, intimate portrait of her life, charting her growth to stardom from Mississippi churches to Hollywood spotlightsFrom the moment she first sang at church in McComb, Mississippi, Brandy knew her voice was special. At fourteen she landed her first record deal. At fifteen her album went platinum. At sixteen she was starring in the hit sitcom Moesha and became the first Black actress to play Cinderella on screen alongside fairy godmother, Whitney Houston. Yet as the accolades piled up, so too did the pressure the maintain a flawless image. To onlookers, she had crafted the blueprint for the teenage “it” girl. But behind closed doors “The Vocal Bible” as she was known, was struggling. Now, for the first time, Brandy reveals the real story behind her life in the spotlight, the stratospheric highs and the unimaginable lows, the groundbreaking moments and the relatable journey she had to take to discover her authentic self—as a woman, a mother, an artist—as Brandy. Brandy's debut memoir is a fearless and remarkable story of hope, resilience and the strength it takes to make peace with the past."
